time_s,roll_deg,pitch_deg,yaw_deg,temp_c,bias_roll,bias_pitch,accel_norm_g,K_roll_angle,K_roll_bias,K_pitch_angle,K_pitch_bias,P_roll_00,P_roll_11,P_pitch_00,P_pitch_11,gyro_pitch_dps,pitch_centered_deg,R_dynamic,gyro_pitch_filt,phase_var
0.0,-0.202,-5.7095,0.0034,30.48,0.0,0.0,1.0092,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-2.1225,3.7299,0.0,0.0
0.0101,-0.1879,-5.6763,0.0064,30.48,-0.000137,-0.000499,1.0102,0.197494,-0.001977,0.197516,-0.003033,0.802617,0.999981,0.802704,0.999954,3.3008,-2.0893,4.064,0.0535,0.0009
0.0201,-0.1578,-5.6315,0.0086,30.48,-0.000807,-0.001424,1.0094,0.174627,-0.003935,0.174621,-0.003722,0.662707,0.99991,0.662683,0.99989,4.4567,-2.0445,3.795,0.1356,0.0024
0.0302,-0.1115,-5.5912,0.0097,30.49,-0.00252,-0.002695,1.0089,0.155335,-0.005851,0.155327,-0.005661,0.560137,0.999764,0.560108,0.999754,4.0029,-2.0042,3.606,0.2169,0.004
0.0402,-0.0596,-5.561,0.0108,30.49,-0.005298,-0.003935,1.0072,0.156742,-0.008711,0.156732,-0.008518,0.472815,0.999493,0.472785,0.999495,3.0024,-1.974,3.0165,0.2817,0.0052
0.0503,-0.0129,-5.5383,0.0131,30.48,-0.008695,-0.005061,1.0063,0.150319,-0.011533,0.150308,-0.011348,0.40231,0.999074,0.402279,0.99909,2.2642,-1.9513,2.6764,0.3322,0.0062
0.0603,0.0269,-5.5174,0.0184,30.48,-0.012454,-0.006475,1.003,0.211861,-0.021504,0.211844,-0.021244,0.317675,0.998195,0.31765,0.998231,2.077,-1.9304,1.4995,0.3802,0.0072
0.0704,0.0351,-5.5093,0.0242,30.49,-0.013135,-0.006871,1.0036,0.155176,-0.020606,0.155163,-0.020417,0.269046,0.997324,0.269022,0.997376,0.8086,-1.9223,1.7338,0.393,0.0075
0.0805,0.0266,-5.5121,0.0315,30.49,-0.01123,-0.005857,1.005,0.107733,-0.018263,0.107722,-0.018132,0.240826,0.996489,0.240802,0.996553,-0.2882,-1.9251,2.2354,0.372,0.008
0.0905,0.0174,-5.5167,0.0402,30.48,-0.008898,-0.004614,1.0073,0.07363,-0.015485,0.073622,-0.015397,0.223984,0.995702,0.223958,0.995775,-0.4485,-1.9297,3.042,0.3451,0.0085
0.1006,0.0127,-5.5207,0.0516,30.49,-0.007506,-0.003427,1.0087,0.060019,-0.015233,0.060012,-0.015164,0.211562,0.994832,0.211536,0.994913,-0.4027,-1.9337,3.5249,0.3193,0.009
0.1106,0.0132,-5.5214,0.0672,30.48,-0.007576,-0.002751,1.0095,0.052877,-0.015829,0.05287,-0.015766,0.201529,0.993824,0.2015,0.993913,-0.0707,-1.9344,3.8113,0.3053,0.0095
