time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
40,20.46771602,-8.8082515,-7.77927172,-52.02215677,-3.03909412,-16.34908027,4.54602226,-0.18799591,1.69875384,-10.2008656,1.90219564,-13.82270396
40.005,20.61010756,-8.67597512,-8.03558661,-50.69424498,-2.98981292,-16.33007876,4.0147271,-0.31514181,1.80601931,-9.95091431,1.97580458,-13.7991049
40.01,20.73753357,-8.55324974,-8.27247783,-49.30811283,-2.96209194,-16.34870374,3.49844429,-0.43022228,1.89359864,-9.71272909,2.0491992,-13.76838541
40.015,20.84370349,-8.44425425,-8.48281337,-47.86780852,-2.95701172,-16.40575458,2.98766746,-0.52530918,1.97952606,-9.48408318,2.13660292,-13.72785435
40.02,20.93779369,-8.34768773,-8.66855706,-46.37590708,-2.96119181,-16.4957954,2.49220354,-0.60390102,2.04852055,-9.26845155,2.22581395,-13.67829213
40.025,21.01462193,-8.26380599,-8.82072414,-44.83332234,-2.97641409,-16.61833176,2.00454709,-0.66262046,2.11381715,-9.06183564,2.3299511,-13.61771078
40.03,21.08037873,-8.194941,-8.95124181,-43.23987346,-2.99117475,-16.76656199,1.53565675,-0.70450936,2.15943381,-8.86992175,2.436567,-13.54827699
40.035,21.13894953,-8.1409308,-9.05101684,-41.59877034,-3.00112303,-16.93564018,1.08657673,-0.72582148,2.1957621,-8.69120125,2.54742014,-13.47051816
40.04,21.18587245,-8.10296024,-9.12120861,-39.91009456,-3.00976459,-17.12109919,0.65309773,-0.72684436,2.22518228,-8.52376655,2.67098248,-13.38424219
40.045,21.21715024,-8.08066991,-9.16675132,-38.17237764,-3.00759765,-17.3273686,0.23540547,-0.7105323,2.24399865,-8.3727038,2.79638782,-13.28630368
40.05,21.24042748,-8.07648873,-9.18055771,-36.39035162,-2.99855485,-17.53969791,-0.16272836,-0.67245716,2.25755478,-8.23400826,2.93381267,-13.18147887
40.055,21.25374518,-8.08967835,-9.16472649,-34.56316255,-2.98339087,-17.75382314,-0.54115294,-0.61481415,2.26605154,-8.10950638,3.08222526,-13.06940758
40.06,21.26077487,-8.1267616,-9.12374232,-32.6950043,-2.9522951,-17.97012651,-0.89605351,-0.53371655,2.27129935,-7.99945028,3.23227075,-12.95326543
40.065,21.25459636,-8.18438622,-9.05927526,-30.78404417,-2.91851539,-18.18213873,-1.23294657,-0.43306118,2.27739644,-7.9020619,3.39410117,-12.83207183
40.07,21.23643833,-8.26345194,-8.96987851,-28.8348647,-2.88366699,-18.38702072,-1.55092699,-0.31287752,2.28556518,-7.81934051,3.56668333,-12.70473032
40.075,21.25898926,-8.36878134,-8.80713009,-26.86761989,-2.78824423,-18.52766515,-1.81175909,-0.15488256,2.26691963,-7.75473397,3.72570363,-12.63939208
40.08,21.16827555,-8.50045138,-8.73233299,-24.83824671,-2.81457631,-18.75866879,-2.12656926,-0.0077006,2.32204186,-7.69506242,3.93711705,-12.44892654
40.085,21.15660445,-8.65589037,-8.53149186,-22.81573944,-2.7416081,-18.87007145,-2.36138282,0.18830772,2.31806917,-7.65695418,4.12127584,-12.37489567
40.09,21.09372875,-8.86197823,-8.36674974,-20.76903831,-2.72841201,-19.0145131,-2.60820594,0.40968516,2.36938742,-7.62960002,4.33121575,-12.24338343
40.095,20.9770035,-9.06464211,-8.23578978,-18.69509304,-2.75973953,-19.21203005,-2.86971146,0.60674238,2.43958806,-7.60831904,4.57070158,-12.04194388
40.1,20.924607,-9.31740732,-7.99705175,-16.65583684,-2.75166773,-19.25032491,-3.07063234,0.87002982,2.4723646,-7.60902625,4.79788316,-11.97005712
40.105,20.84010431,-9.61935843,-7.79165348,-14.63290182,-2.76954285,-19.32601872,-3.2767078,1.15633527,2.56032956,-7.61695453,5.03726759,-11.84892102
40.11,20.71473453,-9.93703542,-7.62535696,-12.63062416,-2.81248008,-19.47102937,-3.49418947,1.43279001,2.67997845,-7.63406894,5.30071204,-11.65923594
40.115,20.63263033,-10.28032691,-7.375412,-10.69991493,-2.87011483,-19.45000234,-3.67753408,1.74531594,2.76306569,-7.67374679,5.57502927,-11.57761031
40.12,20.52270818,-10.67243803,-7.18793264,-8.83452754,-2.90037545,-19.52873941,-3.87043698,2.07205945,2.91811424,-7.7151671,5.84998608,-11.40908794
40.125,20.42922676,-11.07111933,-6.96847665,-7.05680935,-2.95162506,-19.52705563,-4.04975454,2.40207418,3.06321526,-7.77637638,6.14575158,-11.28148775
40.13,20.35047606,-11.47460365,-6.72952643,-5.38069724,-3.01024896,-19.45832103,-4.22126502,2.73275461,3.20014628,-7.85546105,6.45265552,-11.19799185
40.135,20.27329091,-11.8970927,-6.50735095,-3.8114053,-3.0386282,-19.40888753,-4.39439597,3.06610373,3.37327743,-7.9392097,6.7588078,-11.09180141
40.14,20.20130655,-12.32397711,-6.32890751,-2.3572644,-3.02824866,-19.39329773,-4.55568735,3.37931195,3.58676262,-8.03993876,7.0619635,-10.94036104
40.145,20.14461601,-12.71014581,-6.096024,-1.02690484,-3.06580272,-19.28357537,-4.72049632,3.6661177,3.75752411,-8.16277483,7.39469909,-10.87053138
40.15,20.09404483,-13.1053833,-5.92684007,0.17529738,-3.02086558,-19.23427543,-4.87503013,3.9328341,3.99675241,-8.28921022,7.69908818,-10.72617355
40.155,20.05412186,-13.44271247,-5.69722868,1.24461809,-3.02887238,-19.11426539,-5.03886785,4.16281569,4.17794457,-8.4433796,8.0334597,-10.67092434
40.16,20.02070167,-13.76277327,-5.49586793,2.18030884,-2.98523253,-19.02552204,-5.20018208,4.36253704,4.39649024,-8.60253991,8.34166498,-10.58335826
40.165,19.99647387,-14.04498903,-5.35280061,2.98381363,-2.90662175,-18.93511569,-5.34514243,4.50732728,4.65839734,-8.77855027,8.63544522,-10.44895032
40.17,19.9796521,-14.25988109,-5.12261712,3.64683226,-2.86976675,-18.82086396,-5.50984436,4.61875881,4.837214,-8.98204715,8.9467916,-10.41646593
40.175,19.96585991,-14.43468467,-4.98934211,4.18506898,-2.78308137,-18.69507754,-5.65691844,4.6633268,5.09080093,-9.18857578,9.22082734,-10.28876274
40.18,19.96380506,-14.55762996,-4.74217427,4.57949445,-2.719912,-18.60709042,-5.82830198,4.69695878,5.26792263,-9.41823758,9.4881903,-10.27077196
40.185,19.96707154,-14.63419737,-4.52859412,4.85127939,-2.65035063,-18.51607714,-5.9885138,4.67944831,5.46636921,-9.66416832,9.72562211,-10.21879496
40.19,19.97560548,-14.6497484,-4.37224554,4.99556836,-2.58112736,-18.38208643,-6.13555056,4.59370129,5.70186777,-9.93407074,9.93355746,-10.10918845
40.195,19.99850002,-14.60486855,-4.10108991,5.02012196,-2.53154012,-18.28900114,-6.30382515,4.49355331,5.83539158,-10.21376364,10.10308217,-10.10272748
40.2,20.0287059,-14.51223953,-3.91987538,4.91914957,-2.48828263,-18.15689956,-6.44770183,4.32818863,6.0344616,-10.52729658,10.26457556,-10.01164403
40.205,20.07656703,-14.38641394,-3.6103078,4.70520391,-2.48476246,-18.05860354,-6.61429101,4.17730405,6.13196943,-10.84780847,10.3343761,-10.00955969
40.21,20.12777496,-14.18074816,-3.40274137,4.39991092,-2.48312035,-17.91565418,-6.74611635,3.93511491,6.28146069,-11.21174892,10.42442805,-9.92840658
40.215,20.19431388,-13.96915706,-3.09937256,3.97997289,-2.51711741,-17.79502631,-6.89975488,3.72106604,6.36063845,-11.58563987,10.43294795,-9.90227955
40.22,20.27075372,-13.69948857,-2.80819815,3.48285796,-2.58164595,-17.65660673,-7.02844982,3.46032682,6.42906444,-12.00249139,10.39983776,-9.85932917
40.225,20.35731442,-13.40077203,-2.5140508,2.90488694,-2.68315094,-17.50310313,-7.14711327,3.18489091,6.48001822,-12.4503844,10.31798023,-9.79705284
40.23,20.45534501,-13.06910175,-2.2077745,2.25505973,-2.81841362,-17.33890108,-7.25219601,2.89377509,6.50214074,-12.93422532,10.18676093,-9.72030294
40.235,20.55602009,-12.72183819,-1.88107967,1.55047751,-2.98696094,-17.17066737,-7.34386298,2.59925331,6.49415041,-13.45680859,9.99478276,-9.63912225
40.24,20.6707167,-12.34620339,-1.54761106,0.7874225,-3.19293477,-16.99859555,-7.41826962,2.29619789,6.46122302,-14.01873565,9.74799677,-9.53918378
40.245,20.80618951,-11.94485825,-1.17835503,-0.01493265,-3.43544277,-16.8468789,-7.45198525,1.98634754,6.38150982,-14.64244209,9.4824659,-9.39674083
40.25,20.93334596,-11.54299173,-0.79520711,-0.84530635,-3.70818469,-16.69842768,-7.47670534,1.68607562,6.27360868,-15.3014404,9.11694586,-9.25761141
40.255,21.03530163,-11.15097306,-0.4288021,-1.69441386,-3.99523015,-16.52587238,-7.4992127,1.39630012,6.16260808,-15.99978437,8.64231384,-9.11322601
40.26,21.14865768,-10.73084033,-0.04352249,-2.55688141,-4.30189857,-16.37460645,-7.47808914,1.09452173,6.00990753,-16.76378213,8.12475365,-8.9516911
40.265,21.32467964,-10.30228151,0.49465289,-3.43378584,-4.67486778,-16.38651356,-7.378343,0.82787222,5.74267733,-17.60767512,7.63313396,-8.70946869
40.27,21.38426279,-9.89970484,0.83215224,-4.29325767,-4.97192418,-16.2241287,-7.32013583,0.5331882,5.58972938,-18.48194655,6.93494109,-8.50697075
40.275,21.50604267,-9.43701191,1.32680739,-5.14241681,-5.31770016,-16.19930609,-7.17012719,0.23106826,5.27636564,-19.45168044,6.27614624,-8.2967275
40.28,21.58959715,-9.01102749,1.79143944,-5.98122461,-5.64693775,-16.19252289,-7.00690401,-0.05273272,4.98923929,-20.46526618,5.48517086,-8.02110946
40.285,21.65222696,-8.57955696,2.25924101,-6.80401887,-5.95089175,-16.21005786,-6.81081843,-0.34266736,4.6836534,-21.54335304,4.62345728,-7.72948823
40.29,21.68981125,-8.1481228,2.70673208,-7.60754942,-6.22207809,-16.25219952,-6.57975059,-0.64181733,4.34691245,-22.68924202,3.68279358,-7.42133316
40.295,21.69960035,-7.71681122,3.14683909,-8.3842836,-6.45396535,-16.32086011,-6.31139695,-0.95187091,3.99154815,-23.90425339,2.66905311,-7.09753429
40.3,21.68446162,-7.28017106,3.58386455,-9.13383814,-6.64381746,-16.4253718,-6.00359098,-1.27790095,3.61800852,-25.18438813,1.57593204,-6.75613233
40.305,21.6485869,-6.84369999,4.05959755,-9.84630708,-6.79441708,-16.61880061,-5.64617524,-1.60911146,3.2442367,-26.53016257,0.41756341,-6.39153682
40.31,21.57463839,-6.39708854,4.43402909,-10.55142682,-6.8829306,-16.75592158,-5.26903558,-1.98151431,2.84190456,-27.93151552,-0.81659298,-6.04617167
40.315,21.4933123,-5.95263009,4.87391432,-11.22356905,-6.93499913,-17.05153981,-4.83341055,-2.35338914,2.44193367,-29.39254729,-2.10699737,-5.68676567
40.32,21.35226394,-5.49761488,5.20013197,-11.86875379,-6.90149516,-17.20901413,-4.38604491,-2.77685184,2.05210645,-30.90511407,-3.46432414,-5.34663762
40.325,21.19712346,-5.03878531,5.53597937,-12.48945728,-6.81973949,-17.45343324,-3.893392,-3.2165015,1.65663852,-32.46395603,-4.86658855,-5.02450321
40.33,21.01616664,-4.57738415,5.84998933,-13.08384773,-6.68523539,-17.73729895,-3.36437003,-3.67885171,1.2789705,-34.06318359,-6.30361582,-4.72515192
40.335,20.81241249,-4.10992678,6.15241822,-13.64619941,-6.50402341,-18.07534993,-2.79402791,-4.1648892,0.92884589,-35.69947154,-7.75955212,-4.47184522
40.34,20.57798393,-3.64830957,6.37982673,-14.19797495,-6.26303963,-18.375447,-2.20816686,-4.67457057,0.57943049,-37.35597369,-9.22949686,-4.22837607
40.345,20.32323515,-3.17753348,6.5917232,-14.71525136,-5.98276341,-18.71095916,-1.58477864,-5.20776423,0.26719063,-39.0328107,-10.68947672,-4.05460628
40.35,20.04363143,-2.71537003,6.76349294,-15.20939977,-5.65534597,-19.05101015,-0.93744902,-5.751982,-0.01515763,-40.71836373,-12.12602135,-3.91994138
40.355,19.74122686,-2.25753082,6.8983323,-15.67462619,-5.29064241,-19.38863956,-0.26719927,-6.30714891,-0.26450391,-42.40170863,-13.52071135,-3.83586731
40.36,19.4176423,-1.8095473,6.9971901,-16.11164899,-4.89160364,-19.72721228,0.42502856,-6.86469268,-0.47496982,-44.07758418,-14.85574051,-3.80733778
40.365,19.07599342,-1.37411883,7.05623935,-16.51966216,-4.47083211,-20.06269333,1.13884882,-7.4194642,-0.64493908,-45.73746562,-16.11448523,-3.84415886
40.37,18.72518791,-0.96253274,7.04951952,-16.90407983,-4.0325643,-20.42654562,1.88427202,-7.95951261,-0.75433601,-47.3767865,-17.27435602,-3.98800433
40.375,18.33918606,-0.56656396,7.06523016,-17.2474521,-3.57011522,-20.7017435,2.61553737,-8.48086063,-0.86553466,-48.96949508,-18.34558274,-4.06975019
