time,RForceX,RForceY_Vertical,RForceZ,RCOPX,RCOPY_Vertical,RCOPZ,LForceX,LForceY_Vertical,LForceZ,LCOPX,LCOPY_Vertical,LCOPZ
40,NaN,NaN,NaN,NaN,NaN,NaN,101.817,588.06,39.131,0.441,0,-1.0408
40.005,NaN,NaN,NaN,NaN,NaN,NaN,100.263,584.836,37.4995,0.4407,0,-1.0365
40.01,NaN,NaN,NaN,NaN,NaN,NaN,98.821,581.987,35.9288,0.4405,0,-1.0322
40.015,NaN,NaN,NaN,NaN,NaN,NaN,97.5633,579.562,34.3403,0.4402,0,-1.0278
40.02,NaN,NaN,NaN,NaN,NaN,NaN,96.5535,577.589,32.6647,0.4401,0,-1.0233
40.025,NaN,NaN,NaN,NaN,NaN,NaN,95.8223,576.071,30.8628,0.4399,0,-1.0186
40.03,NaN,NaN,NaN,NaN,NaN,NaN,95.3491,574.999,28.9365,0.4399,0,-1.0137
40.035,NaN,NaN,NaN,NaN,NaN,NaN,95.0613,574.36,26.9252,0.4398,0,-1.0087
40.04,NaN,NaN,NaN,NaN,NaN,NaN,94.8571,574.153,24.8945,0.4398,0,-1.0036
40.045,NaN,NaN,NaN,NaN,NaN,NaN,94.6447,574.405,22.916,0.4398,0,-0.9985
40.05,NaN,NaN,NaN,NaN,NaN,NaN,94.3805,575.168,21.0431,0.4399,0,-0.9934
40.055,NaN,NaN,NaN,NaN,NaN,NaN,94.0912,576.518,19.2911,0.4399,0,-0.9883
40.06,NaN,NaN,NaN,NaN,NaN,NaN,93.8681,578.542,17.63,0.44,0,-0.9832
40.065,NaN,NaN,NaN,NaN,NaN,NaN,93.8338,581.325,15.9939,0.44,0,-0.9781
40.07,NaN,NaN,NaN,NaN,NaN,NaN,94.0904,584.933,14.3036,0.4401,0,-0.9728
40.075,NaN,NaN,NaN,NaN,NaN,NaN,94.6714,589.404,12.4941,0.4403,0,-0.9674
40.08,NaN,NaN,NaN,NaN,NaN,NaN,95.5212,594.744,10.5369,0.4404,0,-0.962
40.085,NaN,NaN,NaN,NaN,NaN,NaN,96.5154,600.926,8.4472,0.4406,0,-0.9564
